"Soccer";"English";"Soccer";"Barclays";"Premier";"League";"Fixtures";1;"January";;;"Sunderland";"v";"Man";"City";;;;;;;;;;;
"Match";"Odds";;;;;;;;;;;;;;;;;;;;;;;;
1325430000000;;;;;;;;;;;;;;;;;;;;;;;;;
"Timestamp";"Inplay";"delay";"Market";"ID";"Market";"status";"Selection";"ID";"Selection";"name";"BP1";"BV1";"BP2";"BV2";"BP3";"BV3";"LP1";"LV1";"LP2";"LV2";"LP3";"LV3";"Total";"matched";"LPM"
1325415633144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415633144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5628.95;1.63;2537.67;645624;1.61;;;;;
1325415633144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415634144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415634144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5628.95;1.63;2537.67;645624;1.61;;;;;
1325415634144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415635144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415635144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5628.95;1.63;2537.67;645624;1.61;;;;;
1325415635144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415636144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415636144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5628.95;1.63;2537.67;645624;1.61;;;;;
1325415636144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415637144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415637144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5628.95;1.63;2537.67;645624;1.61;;;;;
1325415637144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415638144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415638144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5628.95;1.63;2537.67;645624;1.61;;;;;
1325415638144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
1325415639144;0;104570252;"ACTIVE";56344;"Sunderland";7;1080.35;6.8;1286.65;6.6;865.38;7.2;468.19;7.4;2103.3;7.6;2191.83;40815.36;7.2;;;;;;
1325415639144;0;104570252;"ACTIVE";47999;"Man";"City";1.6;2047.92;1.59;12109.32;1.58;17186.07;1.61;4063.36;1.62;5628.95;1.63;2537.67;645624;1.61;;;;;
1325415639144;0;104570252;"ACTIVE";58805;"The";"Draw";4.2;2747.17;4.1;6177.66;4;5064.71;4.3;4795.93;4.4;4528.86;4.5;3225.55;42448.93;4.3;;;;;
